[351, 415]
[7393, 3422]
[7371, 3390]
[7264, 3523]
[7230, 3610]
[7441, 3640]
[7599, 3536]
[7715, 3502]
[7694, 3480]
[7511, 3482]
[7865, 3572]
[653, 316]
[615, 495]
[305, 682]
[639, 342]
[594, 580]
[370, 694]
[140, 257]
[584, 238]
[408, 157]
[158, 500]
[510, 161]
[201, 587]
[7295, 3649]
[7221, 3704]
[7260, 3386]
[7403, 3651]
[7446, 3613]
[7584, 3515]
[7322, 3506]
[7337, 3483]
[7273, 3432]
[7373, 3312]
[7221, 3509]
[480, 680]
[721, 270]
[650, 502]
[542, 197]
[565, 700]
[159, 470]
[613, 609]
[500, 194]
[543, 645]
[326, 649]
[264, 104]
[404, 99]
[340, 162]
[7570, 3335]
[7770, 3663]
[7091, 3548]
[7314, 3532]
[7464, 3556]
[7639, 3297]
[7832, 3279]
[7345, 3294]
[7154, 3662]
[7497, 3368]
[7376, 3358]
[7419, 3408]
[7157, 3851]
[7229, 3297]
[7514, 3190]
[7444, 3238]
[7560, 3498]
[7175, 3606]
[7457, 3590]
[7719, 3719]
[312, 167]
[584, 207]
[641, 274]
[468, 169]
[394, 73]
[568, 628]
[409, 128]
[549, 221]
[442, 671]
[383, 135]
[101, 439]
[250, 586]
[641, 386]
[200, 451]
[711, 507]
[3529, 6859]
[7559, 3646]
[7635, 3819]
[7779, 3289]
[7386, 3573]
[7466, 3363]
[7345, 3735]
[7439, 3754]
[7499, 3736]
[7431, 3572]
[7835, 3725]
[7973, 3496]
[7671, 3382]
[7147, 3491]
[7528, 3373]
[7338, 3249]
[7862, 3397]
[7454, 3662]
[7659, 3608]
[7957, 3612]
[7043, 3476]
[7031, 3143]
[7758, 3597]
[7039, 3733]
[7918, 3607]
[6867, 3669]
[7106, 3612]
[7113, 3276]
[7301, 3475]
[7092, 3397]
[7779, 3508]
[7638, 3147]
[7579, 3421]
[7293, 3715]
[7062, 3533]
[7599, 3570]
[8002, 3599]
[7295, 3604]
[7278, 3555]
[7186, 3504]
[7372, 3751]
[692, 324]
[149, 291]
[300, 112]
[163, 536]
[270, 657]
[116, 313]
[714, 299]
[177, 568]
[658, 255]
[520, 671]
[192, 514]
[660, 413]
[400, 728]
[280, 629]
[709, 386]
[661, 525]
[146, 411]
[3519, 7811]
[3274, 7825]
[7806, 3725]
[8125, 3544]
[7494, 3331]
[7515, 3316]
[7909, 3566]
[6946, 3092]
[7347, 3805]
[8048, 3432]
[6828, 3271]
[7632, 3259]
[7720, 3572]
[7775, 3452]
[7198, 3660]
[7751, 3316]
[7370, 3273]
[7991, 3699]
[7587, 3813]
[7591, 3705]
[7645, 3230]
[7865, 3726]
[6980, 3192]
[7477, 3520]
[7531, 3678]
[7378, 3718]
[7639, 3774]
[7740, 3525]
[7054, 3500]
[7663, 3905]
[7177, 3456]
[7234, 3412]
[8161, 3492]
[7162, 3879]
[7552, 3817]
[7776, 3331]
[8054, 3624]
[7142, 3589]
[7238, 3481]
[6982, 3468]
[7981, 3551]
[7745, 3430]
[7796, 3360]
[7701, 3452]
[7425, 3722]
[7402, 3484]
[7453, 3488]
[7640, 3518]
[6878, 3436]
[7337, 3415]
[7625, 3324]
[7144, 3270]
[7544, 3314]
[6962, 3329]
[7532, 3438]
[7516, 3268]
[7669, 3172]
[7918, 3500]
[346, 45]
[7812, 3297]
[326, 104]
[184, 644]
[457, 111]
[118, 493]
[303, 51]
[228, 692]
[182, 259]
[133, 353]
[255, 184]
[551, 170]
[50, 251]
[115, 253]
[227, 173]
[708, 567]
[85, 459]
[416, 674]
[650, 555]
[115, 213]
[402, 639]
[322, 138]
[3252, 7729]
[2951, 7492]
[3145, 7522]
[3792, 7074]
[4304, 7398]
[3719, 7709]
[3534, 7595]
[3614, 7480]
[3779, 7440]
[3491, 7933]
[3481, 7305]
[3666, 6883]
[3355, 7106]
[3050, 7521]
[3183, 7508]
[3527, 7782]
[3232, 7709]
[3784, 6964]
[3354, 7921]
[7570, 2982]
[7043, 3610]
[7665, 3701]
[7183, 3161]
[7556, 3280]
[7465, 3152]
[7700, 3362]
[7334, 3648]
[7112, 2991]
[7751, 3688]
[7633, 3487]
[7544, 3196]
[8015, 3354]
[7024, 3232]
[7619, 3454]
[7888, 3425]
[7009, 3596]
[7229, 3372]
[6894, 3676]
[7071, 3289]
[7900, 3642]
[7966, 3166]
[7720, 3409]
[7573, 3743]
[8088, 3188]
[6978, 3829]
[7601, 3349]
[7125, 3096]
[7135, 3623]
[7178, 3368]
[7269, 3285]
[7519, 3848]
[6991, 3733]
[7201, 3354]
[8048, 3394]
[7444, 3830]
[7156, 3553]
[6975, 3684]
[7549, 3699]
[7799, 3654]
[7184, 3249]
[7013, 3428]
[8091, 3281]
[7708, 3596]
[6762, 3795]
[6930, 3158]
[7860, 3120]
[7149, 3726]
[7192, 3712]
[8251, 3355]
[7252, 3326]
[8016, 3444]
[7714, 3111]
[7890, 3831]
[7109, 3360]
[7090, 3718]
[7663, 3345]
[7789, 3859]
[7599, 3079]
[7226, 3679]
[7563, 3443]
[7009, 3521]
[7318, 3735]
[7847, 3242]
[7431, 3380]
[7486, 3459]
[7115, 3215]
[7309, 3566]
[6645, 3345]
[3130, 6987]
[230, 112]
[75, 280]
[125, 460]
[476, 705]
[607, 181]
[748, 365]
[582, 674]
[749, 447]
[513, 773]
[606, 258]
[110, 389]
[32, 439]
[259, 766]
[281, 65]
[231, 653]
[738, 531]
[668, 214]
[177, 681]
[465, 73]
[3789, 7236]
[3580, 7758]
[3084, 7606]
[2001, 6958]
[2727, 7627]
[3623, 7892]
[3410, 7487]
[2973, 7244]
[3176, 7974]
[4306, 7425]
[3815, 7486]
[4174, 7643]
[3098, 7212]
[3955, 7196]
[4138, 7432]
[4172, 7880]
[3813, 7717]
[4100, 7191]
[2800, 7298]
[4129, 7775]
[3545, 7572]
[3452, 7915]
[3050, 7481]
[4486, 7422]
[3779, 7327]
[2959, 7936]
[4480, 7461]
[4222, 7110]
[3719, 7406]
[2060, 7428]
[4447, 7209]
[4344, 7632]
[2865, 7375]
[2842, 6402]
[2951, 7597]
[3693, 8081]
[4043, 7227]
[3819, 7568]
[3599, 8514]
[3445, 7379]
[3140, 8164]
[2651, 7526]
[3659, 6977]
[3978, 7744]
[3772, 7691]
[2861, 7631]
[3988, 7582]
[4294, 7985]
[2909, 7865]
[3372, 7548]
[3381, 7372]
[2993, 7814]
[3440, 7597]
[3577, 7332]
[4040, 7445]
[3383, 7611]
[2808, 7417]
[3287, 7791]
[2579, 7468]
[2367, 7602]
[4638, 8149]
[8129, 3203]
[7863, 3021]
[7431, 3447]
[8129, 3489]
[7406, 3681]
[6805, 3288]
[6995, 3786]
[7726, 3145]
[8182, 3724]
[6984, 3609]
[7582, 3618]
[7419, 2993]
[7526, 3346]
[7001, 3281]
[6840, 3688]
[7049, 3432]
[7721, 3663]
[7824, 3816]
[8019, 3674]
[7889, 3798]
[7636, 3547]
[7678, 3829]
[7433, 3142]
[7562, 2954]
[8077, 3829]
[7608, 3684]
[7034, 3284]
[7273, 3168]
[7461, 3208]
[7593, 3660]
[7371, 3154]
[7648, 2953]
[7323, 3386]
[7311, 3679]
[7174, 3578]
[7892, 3544]
[7102, 3467]
[7508, 3629]
[7243, 3641]
[7522, 3406]
[7622, 3096]
[7889, 3602]
[6928, 3862]
[6797, 3564]
[7456, 3033]
[7654, 3641]
[7758, 3046]
[8019, 3576]
[7459, 2998]
[7314, 3114]
[7157, 3696]
[7895, 3489]
[8118, 3391]
[8210, 3574]
[7442, 3902]
[7574, 3567]
[6991, 3369]
[6932, 3687]
[7460, 3810]
[7096, 3935]
[6788, 3405]
[7388, 3113]
[7192, 3871]
[7607, 3250]
[7066, 3316]
[7631, 3410]
[7870, 3459]
[7805, 3497]
[6838, 3628]
[7653, 3110]
[7184, 3780]
[7510, 3240]
[7196, 3097]
[6758, 3413]
[7439, 3330]
[7528, 3508]
[7542, 3860]
[7413, 3782]
[7675, 3457]
[7329, 3200]
[7795, 3625]
[6665, 3278]
[7356, 3591]
[6957, 3787]
[6974, 3521]
[7270, 3493]
[6910, 3799]
[7761, 3384]
[8085, 3459]
[6973, 3406]
[7258, 3356]
[7247, 3547]
[7106, 3525]
[8027, 3717]
[8185, 3436]
[7499, 3294]
[7451, 3776]
[7681, 3669]
[7906, 3777]
[7756, 3624]
[7772, 3901]
[7267, 3651]
[7196, 3560]
[4352, 7296]
[7699, 3395]
[2789, 7818]
[550, 121]
[394, 767]
[643, 596]
[537, 711]
[195, 705]
[374, 724]
[507, 114]
[70, 430]
[690, 474]
[324, 737]
[126, 142]
[735, 323]
[667, 128]
[685, 299]
[134, 636]
[94, 415]
[4, 339]
[62, 565]
[637, 768]
[687, 440]
[745, 413]
[613, 217]
[804, 272]
[430, 711]
[70, 480]
[3586, 7082]
[4523, 7820]
[2717, 7526]
[4149, 7837]
[2713, 7459]
[4295, 7217]
[4134, 7363]
[3814, 7871]
[3248, 8330]
[3150, 7549]
[4310, 7175]
[2578, 7733]
[3249, 7511]
[4071, 7214]
[3513, 7504]
[3799, 7909]
[3357, 7493]
[3004, 7930]
[3771, 8046]
[3518, 7866]
[4546, 7712]
[3766, 7282]
[3906, 6462]
[2534, 7328]
[2792, 7730]
[4371, 7717]
[3808, 6871]
[3019, 7077]
[3853, 7785]
[3737, 7592]
[3411, 7297]
[3636, 7135]
[3684, 7892]
[2737, 8086]
[1681, 7837]
[2445, 7345]
[3739, 7146]
[2496, 7229]
[3451, 7081]
[3636, 7308]
[2701, 7361]
[4659, 7859]
[2925, 7488]
[3629, 7848]
[3928, 8027]
[4653, 7023]
[3841, 7424]
[4195, 7172]
[2203, 7363]
[4171, 7394]
[3816, 6807]
[2836, 7652]
[3167, 7797]
[3924, 7329]
[2607, 7870]
[3186, 8119]
[3530, 6946]
[4281, 7330]
[3439, 8218]
[2691, 6999]
[3477, 7631]
[4044, 7791]
[3504, 7574]
[2726, 7371]
[3826, 7063]
[2604, 7328]
[3199, 7386]
[3809, 7975]
[3714, 7054]
[3513, 7612]
[3907, 7960]
[4235, 6966]
[3830, 7681]
[4570, 7814]
[3275, 7707]
[3572, 7291]
[2483, 7456]
[3813, 6843]
[2835, 7921]
[3847, 8196]
[4173, 7463]
[3897, 6427]
[4796, 7989]
[2342, 8012]
[3502, 7210]
[4645, 7472]
[4149, 7527]
[3550, 7226]
[3308, 7992]
[2714, 7230]
[2890, 7791]
[3368, 7820]
[2521, 8087]
[2132, 7241]
[4209, 6946]
[1501, 7655]
[2380, 7480]
[3694, 7398]
[4200, 7367]
[3907, 7905]
[4179, 7782]
[4644, 7052]
[3609, 7380]
[2918, 7837]
[2935, 7316]
[4200, 6630]
[5421, 7131]
[3886, 7018]
[3699, 7648]
[4112, 7429]
[2967, 7841]
[3465, 7767]
[2936, 6996]
[4173, 7433]
[3390, 7271]
[4105, 7994]
[3311, 7807]
[2710, 7871]
[3097, 7728]
[4587, 7791]
[3821, 7358]
[3311, 7354]
[3022, 7111]
[3174, 7032]
[2040, 6985]
[2699, 7198]
[3797, 7640]
[3045, 8113]
[3315, 7467]
[3190, 7542]
[3727, 7684]
[3132, 6952]
[4165, 8054]
[3666, 7758]
[8250, 3766]
[7699, 3734]
[6584, 3270]
[8182, 3520]
[7451, 3280]
[7541, 3236]
[7405, 3132]
[6487, 3129]
[7148, 3060]
[7224, 3912]
[7083, 3798]
[8247, 3042]
[7696, 3928]
[7194, 3402]
[7517, 3873]
[7012, 3920]
[8232, 3697]
[7346, 3946]
[7813, 3386]
[7730, 3626]
[8295, 3606]
[7081, 3604]
[7821, 3172]
[7965, 3418]
[7661, 3952]
[7117, 3018]
[7636, 3857]
[7157, 3403]
[8186, 3757]
[7725, 3872]
[8252, 3603]
[7992, 3751]
[7031, 3647]
[8290, 3793]
[6873, 3479]
[7883, 3661]
[8126, 3639]
[7003, 3049]
[7490, 3417]
[7632, 3739]
[8234, 3539]
[7719, 3277]
[7377, 3673]
[7816, 3442]
[8091, 3570]
[7738, 3834]
[6818, 3700]
[7111, 3175]
[7968, 3104]
[7420, 3274]
[7236, 3186]
[7692, 3206]
[6588, 3526]
[7627, 3572]
[6925, 3129]
[7936, 3446]
[7886, 3704]
[7141, 3327]
[7580, 3593]
[8083, 3154]
[7538, 3732]
[6870, 3227]
[7413, 3029]
[7886, 3748]
[8350, 3657]
[7865, 3991]
[7824, 3232]
[8184, 3238]
[7308, 3253]
[7578, 3848]
[7228, 3825]
[7029, 3787]
[7142, 3466]
[7327, 3882]
[8522, 3478]
[7993, 3367]
[7404, 3755]
[6600, 3768]
[7638, 3434]
[6970, 4033]
[7261, 3686]
[6581, 4007]
[8219, 3361]
[8229, 3879]
[7817, 3050]
[7749, 3467]
[7194, 3123]
[7740, 3753]
[6736, 3263]
[6939, 3629]
[6744, 3658]
[6804, 3371]
[7846, 2922]
[7351, 3182]
[6616, 3328]
[8057, 3304]
[7482, 3579]
[7972, 3722]
[7961, 3690]
[8132, 3691]
[7966, 3522]
[6879, 3394]
[7008, 3095]
[7664, 3528]
[7111, 3438]
[8195, 2939]
[7862, 3620]
[8120, 3170]
[6673, 3535]
[7038, 3568]
[7679, 2911]
[7044, 3331]
[7417, 3308]
[7467, 3919]
[7652, 3079]
[7758, 3169]
[6654, 3573]
[7158, 3233]
[7254, 3054]
[7897, 3378]
[8039, 3480]
[7775, 3573]
[7689, 3508]
[7424, 3213]
[7601, 3172]
[7891, 3215]
[7532, 3157]
[6845, 3845]
[8043, 3044]
[7545, 3533]
[8385, 3277]
[7354, 3689]
[6967, 3550]
[7137, 3518]
[7023, 3677]
[8113, 3727]
[7845, 3314]
[7195, 3947]
[7634, 3700]
[8115, 3328]
[7777, 3699]
[8028, 3618]
[7927, 4006]
[2803, 7506]
[7209, 8178]
[4052, 7757]
[3494, 7337]
[3902, 8135]
[3595, 7713]
[3722, 8390]
[4480, 7229]
[429, 14]
[677, 678]
[88, 547]
[497, 86]
[765, 332]
[712, 447]
[-41, 355]
[562, 767]
[838, 439]
[725, 596]
[-64, 425]
[650, 795]
[175, 98]
[157, 722]
[79, 211]
[38, 358]
[433, 68]
[698, 605]
[766, 178]
[40, 581]
[43, 534]
[755, 511]
[359, 114]
[216, 744]
[46, 129]
[25, 215]
[46, 286]
[774, 403]
[17, 182]
[864, 309]
[349, 709]
[74, 628]
[2829, 7320]
[4157, 7484]
[1481, 7423]
[5806, 7713]
[5295, 7070]
[4436, 7400]
[3260, 7304]
[4785, 7396]
[3510, 8258]
[3380, 8020]
[3599, 7136]
[4176, 7925]
[2435, 7566]
[3709, 7366]
[2220, 7449]
[3910, 7191]
[4055, 7123]
[2045, 7978]
[4075, 7718]
[3946, 7162]
[3311, 7598]
[3918, 6770]
[3363, 6796]
[2929, 7097]
[3651, 7172]
[3150, 7606]
[4887, 7201]
[2860, 8025]
[4864, 7699]
[3132, 7445]
[2391, 7296]
[2131, 7793]
[3678, 7616]
[2105, 7701]
[1983, 7694]
[4662, 7891]
[4262, 7556]
[3215, 7189]
[3417, 7959]
[3373, 7344]
[3259, 7600]
[3732, 6798]
[3234, 7535]
[2334, 6895]
[3724, 7861]
[3063, 6758]
[4318, 7849]
[4260, 6959]
[3393, 7668]
[1938, 7800]
[4003, 8283]
[3278, 8115]
[3416, 7355]
[3049, 7343]
[3836, 8031]
[3779, 7375]
[3950, 7093]
[3732, 7734]
[3510, 7911]
[5379, 6798]
[4381, 7049]
[3619, 6919]
[3646, 7467]
[2597, 7667]
[3995, 7165]
[2959, 7365]
[2444, 7731]
[4489, 8111]
[2988, 7529]
[2000, 6999]
[3614, 7003]
[3138, 7157]
[3317, 6899]
[5293, 6960]
[4989, 7665]
[3212, 7331]
[4240, 7613]
[3685, 6692]
[5019, 7227]
[3535, 8168]
[2684, 7511]
[4555, 8201]
[3561, 6947]
[3529, 7320]
[3214, 7950]
[4079, 7809]
[2880, 7456]
[2404, 7347]
[3249, 7088]
[3138, 7327]
[2924, 6467]
[3815, 8427]
[3607, 7547]
[3143, 7377]
[3231, 8056]
[3707, 8153]
[3060, 7550]
[3923, 7491]
[4250, 7679]
[2788, 7023]
[3999, 7720]
[2155, 6942]
[4853, 7187]
[2052, 7540]
[3638, 7443]
[6036, 8110]
[3013, 7374]
[3284, 7644]
[4168, 6741]
[2987, 7482]
[2168, 7475]
[4171, 7215]
[2890, 7405]
[4762, 8757]
[1948, 7283]
[4009, 7628]
[2821, 7887]
[3929, 7420]
[2844, 7235]
[4713, 7889]
[2910, 6649]
[3198, 7643]
[3706, 7530]
[4701, 7624]
[4284, 6891]
[3104, 8060]
[3440, 7265]
[4624, 7823]
[3122, 7679]
[3995, 7525]
[3204, 7849]
[3840, 7463]
[4432, 8047]
[3462, 7962]
[4178, 7996]
[4449, 7060]
[2106, 6473]
[4149, 7594]
[2333, 7730]
[2218, 7580]
[3083, 7053]
[2040, 7849]
[4361, 7426]
[2700, 7797]
[2447, 7124]
[2800, 7966]
[1788, 7726]
[3879, 7391]
[4293, 7077]
[4805, 7460]
[3138, 7722]
[3837, 7215]
[3702, 6524]
[2746, 7289]
[4619, 7364]
[4532, 7133]
[4949, 8427]
[2577, 7989]
[2138, 7273]
[4221, 7510]
[2641, 7290]
[3852, 7892]
[5049, 8204]
[3154, 7290]
[3531, 7400]
[2240, 7865]
[3223, 7252]
[4012, 7136]
[3567, 6611]
[2928, 7561]
[4313, 8210]
[3625, 6492]
[3635, 7509]
[3099, 7318]
[4275, 7859]
[2765, 7033]
[2777, 7670]
[3868, 7664]
[2505, 7964]
[2255, 7500]
[4306, 7785]
[3634, 8188]
[3647, 7737]
[3419, 8175]
[3469, 7858]
[3830, 6990]
[3348, 7518]
[5249, 7518]
[2094, 7876]
[2425, 7876]
[4285, 7122]
[2563, 6606]
[4691, 8452]
[3052, 7245]
[4874, 6780]
[3454, 7331]
[2903, 7472]
[2983, 7154]
[3825, 8003]
[2941, 7526]
[3705, 7469]
[3612, 7768]
[2550, 7063]
[3549, 7027]
[2322, 7054]
[2060, 6877]
[4849, 7401]
[4699, 7922]
[4130, 7697]
[2727, 8285]
[3868, 7633]
[2307, 7402]
[2640, 7225]
[2671, 7792]
[3325, 8185]
[4688, 7666]
[2770, 8071]
[3490, 8150]
[2121, 7311]
[2933, 7657]
[4107, 7028]
[3162, 7581]
[2663, 7072]
[3582, 7646]
[3609, 8077]
[1278, 7467]
[4247, 7058]
[5107, 7750]
[5091, 7498]
[3431, 8384]
[3754, 7313]
[3459, 6644]
[4296, 7529]
[4064, 7087]
[2537, 7269]
[2505, 7868]
[2758, 7721]
[4645, 7518]
[1686, 7366]
[3583, 8163]
[2518, 6236]
[4096, 7263]
[4488, 7556]
[1967, 7446]
[3088, 7672]
[4521, 6719]
[3011, 7606]
[3050, 8477]
[4698, 6366]
[5884, 7743]
[4552, 6804]
[4268, 6240]
[3176, 6599]
[6201, 7242]
[3110, 7412]
[3438, 7306]
[3680, 6837]
[2640, 7454]
[2620, 7848]
[2837, 7704]
[2877, 7135]
[3881, 8678]
[3217, 7442]
[3009, 7863]
[3379, 7162]
[3487, 6840]
[3676, 8175]
[3915, 7225]
[3210, 7582]
[2339, 7858]
[4602, 6674]
[3328, 7664]
[2603, 8113]
[4046, 6791]
[3695, 6732]
[2365, 7996]
[4746, 7379]
[3033, 7500]
[3055, 7579]
[2575, 8059]
[3677, 8623]
[3551, 7362]
[4694, 8156]
[2451, 7522]
[4152, 7326]
[3469, 7159]
[4475, 7737]
[2382, 7069]
[2898, 7978]
[4020, 7858]
[2706, 7109]
[3472, 8189]
[3574, 7243]
[3690, 7710]
[3642, 7824]
[3751, 7055]
[5071, 7944]
[1170, 7402]
[4267, 8077]
[3570, 6860]
[3853, 7858]
[4069, 7468]
[3571, 7588]
[4478, 8218]
[3638, 6994]
[2704, 7721]
[3543, 7280]
[3557, 8373]
[4239, 7206]
[2402, 8199]
[3848, 6785]
[332, 7194]
[2185, 7020]
[367, 6936]
[3172, 7923]
[2528, 7646]
[2341, 7596]
[1366, 7150]
[2754, 7386]
[1614, 7615]
[2785, 8214]
[1887, 8121]
[4407, 7717]
[3675, 7376]
[4396, 6783]
[2171, 7888]
[3962, 7270]
[2521, 7138]
[5450, 6921]
[7529, 3944]
[6905, 3470]
[8068, 4029]
[8070, 3658]
[7105, 3961]
[8323, 3311]
[7038, 3864]
[8145, 3324]
[8087, 3227]
[6870, 3929]
[7919, 3154]
[8416, 3566]
[7541, 3561]
[7459, 3122]
[7115, 3876]
[8480, 3932]
[7366, 4004]
[7078, 3766]
[7371, 4152]
[7364, 3557]
[8517, 3540]
[6750, 2790]
[8097, 3413]
[7608, 3381]
[8282, 3742]
[7480, 3026]
[8080, 3025]
[7005, 4028]
[8365, 3478]
[7655, 3668]
[7905, 3907]
[8726, 3328]
[7671, 4037]
[8298, 3551]
[7924, 3198]
[7917, 3422]
[7179, 3186]
[6861, 3518]
[8049, 3361]
[7350, 3334]
[6570, 3688]
[7589, 4075]
[7982, 3278]
[6821, 2986]
[7395, 4118]
[7937, 3394]
[7919, 3871]
[7399, 3232]
[6380, 3049]
[8124, 3239]
[7875, 3274]
[7354, 3871]
[7276, 3838]
[7699, 4017]
[8154, 3608]
[6553, 4043]
[6851, 3260]
[6675, 3162]
[7176, 3041]
[7293, 3227]
[8956, 3356]
[7860, 4024]
[8165, 3218]
[8449, 3821]
[7767, 3549]
[7600, 3898]
[7379, 3630]
[6970, 3130]
[7278, 3746]
[7844, 3763]
[6798, 3741]
[7995, 3143]
[6856, 3053]
[7565, 2916]
[6744, 3688]
[8416, 3124]
[6633, 3557]
[8304, 3447]
[7541, 3599]
[7093, 3676]
[7062, 3368]
[8131, 3765]
[7418, 3920]
[8366, 3575]
[7766, 3765]
[7962, 3351]
[7848, 3503]
[7854, 3868]
[7836, 3637]
[7819, 3323]
[6901, 3105]
[6796, 3150]
[8389, 3452]
[6815, 3530]
[7724, 3244]
[7574, 4023]
[8360, 3942]
[7630, 3972]
[7375, 3041]
[8608, 3585]
[6708, 3745]
[8221, 3614]
[8099, 3645]
[7160, 3987]
[7663, 3263]
[8741, 4018]
[7539, 4018]
[8121, 3465]
[7901, 3343]
[7548, 3774]
[6761, 3499]
[7202, 3215]
[7508, 3032]
[7023, 2804]
[7362, 3898]
[7709, 3336]
[7056, 3077]
[7397, 2935]
[8047, 3183]
[8171, 3548]
[7239, 3854]
[7418, 3348]
[6721, 3473]
[6734, 3595]
[7074, 3174]
[7741, 2911]
[8223, 4035]
[6800, 3235]
[7188, 3829]
[6557, 2972]
[7852, 3349]
[8431, 3433]
[7970, 3015]
[7197, 4060]
[8030, 3530]
[6613, 3117]
[7684, 2952]
[7401, 4048]
[6635, 3838]
[7864, 3202]
[7489, 3779]
[7690, 3807]
[8150, 3836]
[8640, 3272]
[7921, 3837]
[7487, 3663]
[7922, 3261]
[7251, 3950]
[7467, 4028]
[6498, 3243]
[7798, 3207]
[7114, 3916]
[7576, 3374]
[6667, 3328]
[8315, 3526]
[7204, 3180]
[8661, 3399]
[6769, 4036]
[7339, 3104]
[8351, 3750]
[8087, 3502]
[7428, 3103]
[7704, 2880]
[6919, 3733]
[6697, 3544]
[7030, 2958]
[7290, 3197]
[6531, 3431]
[7944, 3303]
[7664, 3554]
[7344, 3077]
[8318, 3404]
[7978, 3645]
[7596, 3763]
[6804, 3850]
[6875, 3567]
[7255, 3787]
[7897, 3005]
[7794, 3935]
[6628, 3783]
[7779, 4010]
[8070, 3064]
[7664, 3771]
[6841, 3455]
[6546, 3696]
[7106, 2892]
[7177, 3066]
[7139, 2979]
[7458, 3412]
[8185, 3274]
[7700, 3873]
[7881, 4091]
[6602, 3938]
[7995, 3089]
[7800, 3128]
[7473, 3847]
[6601, 3720]
[7839, 3596]
[7008, 3336]
[7164, 3294]
[6618, 3623]
[7391, 3520]
[7847, 3051]
[7225, 3340]
[7837, 3968]
[7150, 3173]
[6831, 3789]
[8449, 3778]
[6075, 7460]
[2423, 9805]
[9627, 4104]
[8657, 4234]
[1628, 5784]
[6976, 199]
[6605, 7465]
[9788, 5795]
[9964, 4367]
[1012, 3751]
[2838, 2257]
[3912, 3228]
[1763, 6222]
[5949, 5081]
[6551, 6356]
[9460, 3065]
[4352, 9855]
[3331, 5729]
[5348, 453]
[8314, 9719]
[7985, 4884]
[9247, 9969]
[4511, 7485]
[436, 1239]
[5306, 5304]
[3077, 9301]
[4617, 5107]
[1327, 5916]
[271, 8522]
[4149, 5890]
[1240, 3044]
[1588, 9536]
[8465, 4469]
[1872, 5607]
[3495, 3174]
[2197, 76]
[3875, 3394]
[9665, 4443]
[9751, 2011]
[5178, 2098]
[2792, 7863]
[7277, 6534]
[4573, 7843]
[383, 38]
[768, 475]
[522, -1]
[324, 793]
[110, 619]
[354, 795]
[698, -74]
[204, 129]
[766, 606]
[822, 220]
[-3, 467]
[634, 658]
[72, 322]
[382, 790]
[682, 718]
[321, -36]
[464, 771]
[801, 440]
[99, 594]
[711, 799]
[-58, 329]
[599, 40]
[973, 393]
[272, -32]
[481, 6]
[164, 165]
[256, 19]
[541, -55]
[617, 20]
[270, 814]
[617, 119]
[816, 653]
[433, 877]
[145, 10]
[314, 12]
[598, 91]
[796, 539]
[-19, 509]
[253, -81]
[548, 76]
[692, 181]
[210, 37]
[294, 787]
[577, -65]
[729, 160]
[855, 394]
[730, 468]
[713, 741]
[660, 658]
[622, 919]
[598, 879]
[509, -139]
[83, 352]
